season,episode,episode_index,title,directed_by,written_by,murderer_played_by,victim_played_by,original_air_date,columbo_first_appearance,run_time,occupation_of_murderer,network,description
7,1,41,Try and Catch Me,James Frawley,(T) Paul Tuckahoe; (S/T) Gene Thompson,Ruth Gordon as Abigail Mitchell,Charles Frank as Edmund Galvin,1977-11-21,1095,4208,Mystery writer,NBC,"Esteemed mystery author Abigail Mitchell (Ruth Gordon) is convinced that her sole relative, her nephew-in-law Edmund Galvin (Charles Frank), murdered his wife, Mitchell's niece Phyllis, in a boating ""accident"" four months earlier and got away with it. Not only that, but Galvin inherited the rights to a play of Mitchell's, which Mitchell had long ago signed over to Phyllis as a present. Mitchell decides to take revenge and murder her nephew-by-marriage. She tricks Galvin into a false sense of security by making him her heir. Then she lures him into her large walk-in safe and slams the door shut, locking him in. Galvin, locked in an airless and sound-proofed safe for the whole weekend, suffocates while Mitchell flies off to New York.
Final clue/twist: Columbo eventually solves the case by piecing together clues left by Galvin as he suffocated in the safe. The most incriminating is the title page of Mitchell's latest manuscript ""The Night I was Murdered"", which Galvin altered to read ""I was murdered by Abigail Mitchell"". At the end of the episode, Mitchell asks Columbo if he can overlook what she did. Gordon's character is one of the most sympathetic killers caught by Columbo and he seems genuinely sorry to have to arrest her. However, he had earlier cautioned her not to count on his being soft-hearted. She pays him a compliment to his cleverness by remarking that, had he been the detective who had investigated her niece's ""disappearance,"" none of this need ever have happened.

Mariette Hartley plays Mitchell's trusted assistant, Veronica Bryce, who becomes embroiled in the crime. G. D. Spradlin plays Mitchellâs attorney, who in one scene seems to have guessed what she had done."
7,2,42,Murder Under Glass,Jonathan Demme,Robert van Scoyk,Louis Jourdan as Paul Gerard,Michael V. Gazzo as Vittorio Rossi,1978-01-30,582,4222,Restaurant critic,NBC,"Paul Gerard (Louis Jourdan) is a renowned restaurant critic, but gets rich extorting money from upscale restaurant owners in return for good reviews. When one of them, Vittorio Rossi (Michael V. Gazzo), decides to no longer pay and expose Gerard, the critic kills him with a bottle of wine poisoned with fugu. 
Final clue/twist: Columbo figures out that Gerard poisoned the wine via the needle of the bottle opener, not in the pressure cartridge itself. He tricks Gerard into attempting to poison him in the same way, which provides the final evidence. Columbo then tells Gerard he suspected him almost immediately because Gerard did not rush to a hospital to be examined after the police informed him the man he just had dinner with died from poison. Throughout the episode, Columbo and Gerard have been respectful to one another, but both finally admit that they dislike each other. Columbo nonetheless asks Gerard what he thinks of the meal he has just prepared, and the charming murderer says, ""I wish you had been a chef"".
Richard Dysart, France Nuyen and Larry D. Mann also appear. Antony Alda plays Rossi's nephew, Mario, who speaks only Italian. Falk's later real-life wife Shera Danese returns as Gerard's secretary/treasurer/mistress Eve Plummer, who is being manipulated by Gerard into managing the slush fund for the payoffs from the restaurateurs. 

Writer Robert van Scoyk received an Edgar Allan Poe Award from the Mystery Writers of America for his teleplay. This episode was the first television directorial work from Jonathan Demme, better known for his later film work on movies such as  The Silence of the Lambs and Philadelphia."
7,3,43,Make Me a Perfect Murder,James Frawley,Robert Blees,Trish Van Devere as Kay Freestone,Laurence Luckinbill as Mark McAndrews,1978-02-25,18,5621,TV executive,NBC,"West Coast television production boss Mark McAndrews (Laurence Luckinbill) is promoted to a high-level position in New York. He fails to name as his replacement the logical successor, TV programmer Kay Freestone (Trish Van Devere), because she is also his lover. He gives her, as a consolation prize, a new Mercedes. She is more interested in a gun he holds while he jokingly invites her to shoot him. Freestone takes him up on it during an important preview for a new made-for-TV movie called ""The Professional"", that she helped produce. She tricks the projectionist (James McEachin) by fiddling with the projector's timer and then sending him on an errand. Freestone sneaks up to McAndrews's office and shoots him, then returns, hiding the gun above the ceiling panels of an elevator, to make the reel change successfully before the projectionist gets back. Patrick O'Neal plays Frank Flanagan, her boss. It was once held that Van Devere's husband, actor George C. Scott, has an uncredited cameo as a television technician, but that claim has been debunked.

Final clue/twist: Kay sees what she thinks is the murder weapon, now visible against the lights of the elevator ceiling. She recovers and gets rid of it. Columbo reveals that the actual gun had been discovered by the police some time before, and an imitation was put where she would see it, to find out what she would do. That she got rid of what she thought was the murder weapon proves she must be the killer."
7,4,44,How to Dial a Murder,James Frawley,(S) Anthony Lawrence; (T) Tom Lazarus,Nicol Williamson as Eric Mason,Joel Fabiani as Charlie Hunter,1978-04-15,613,4167,Mind control guru,NBC,"Film and game-loving mind control (or, as the doctor tells the detective, ""life control"") seminar guru Dr. Eric Mason (Nicol Williamson) uses two trained Doberman Pinschers, Laurel and Hardy, to maul his ""best friend"" Dr. Charlie Hunter (Joel Fabiani) to death. Hunter had been having an affair with Dr. Mason's now-deceased wife, who Mason may also have murdered. Kim Cattrall plays the resident of Mason's guest house who discovers the body.  Ed Begley, Jr. has a minor role as an animal control officer and Tricia O'Neil plays a dog trainer.

Final clue/twist: When Columbo realizes that the dogs were trained to react violently when a certain word is spoken, he has a long conversation with Mason, hoping Masonâs ego will compel him to use the word while they talk. This does happen. Columbo secretly recorded the conversation, and when the tape is played to the dogs they again react with savagery. Columbo figures out the word is ""Rosebud"". Columbo confronts Mason and provokes him by telling him of all the mistakes he made. Mason orders the dogs to attack, by saying ""Rosebud"" sharply and pointing to Columbo. However this time the dogs play with Columbo instead of attacking him, as he had arranged to have them retrained by a dog behavioural specialist."
7,5,45,The Conspirators,Leo Penn,Idea : Pat Robison; (T) Howard Berk,Clive Revill as Joe Devlin,Albert Paulsen as Vincent Pauley,1978-05-13,1176,5581,Arms dealer / poet / raconteur / terrorist,NBC,"Joe Devlin (Clive Revill) is a renowned Irish poet, author, and raconteur. He, along with his own family and the heads of O'Connell Industries, is secretly a fundraiser and gun-runner for the Irish Republican Army. He raises money in Los Angeles for his radical cause through a charity ostensibly meant to help victims of terrorism. Devlin has a strong belief in honor. Thus, when Vincent Pauley (Albert Paulsen), an arms dealer selling guns to Devlin, tries to skim off $50,000 for himself, Devlin shoots and kills Pauley for being a traitor. With Columbo hot on his trail, Devlin now in possession of the guns must  arrange for their shipment out of the country.
Final clue/twist: Columbo discovers that a bottle of whiskey at the crime scene has the same glass markings that Devlin habitually makes when he drinks from a bottle. Because every diamond has a unique cutting habit, Devlin's ring, which he uses to mark his bottles, is proof of his presence at the crime scene. Devlin accepts that Columbo has caught him, and is only disturbed when at the last minute Columbo foils his gun-smuggling scheme (Columbo had realized the guns were not yet on a ship going out to Southampton, but were on a tugboat escorting the ship to sea; Columbo saw the tugboat had the colors of the O'Connell shipping line).

This was the last episode of the Columbo series broadcast on the NBC television network. Columbo's last line is ""This far, and no farther"", words spoken by Devlin as he marked a whiskey bottle to determine how much he would drink in a session.  These words were taken from a speech by the Irish Parliamentary Party (IPP) leader Charles Stuart Parnell, a 19th-century Irish politician and supporter of Home Rule. A noted IPP politician of the same name as the fictional killer in this episode, Joseph Devlin, represented West Belfast early in the 20th century and opposed the use of violence in the cause of nationalist politics."
8,1,46,Columbo Goes to the Guillotine,Leo Penn,William Read Woodfield,Anthony Andrews as Elliott Blake,Anthony Zerbe as Max Dyson,1989-02-06,1475,5334,(Fake) Psychic,ABC,"Elliott Blake (Anthony Andrews) is a ""psychic"" who, with his girlfriend/partner in crime Dr. Paula Hall (Karen Austin), is attempting to scam U.S. military intelligence into hiring him to use his ESP abilities against the Soviets. Blake and Hall rig a test with a stock set of Zener cards, but the Army wants more proof of Blake's abilities. They bring in Max Dyson (Anthony Zerbe), a magician with a side job in exposing fake psychics. Dyson, who has never failed to expose frauds, comes up with a new test for Blake. Three Army officers drive to randomly selected areas and take pictures of whatever they see. Then they will attempt to transmit those images to Blake with their thoughts. To the surprise and delight of the Army officials, Blake passes the test. What they don't know, however, is that Blake and Dyson are old acquaintances who both did time together in a Ugandan prison, and Dyson helped his old friend rig the test for old times' sake. Unfortunately for Dyson, Blake holds a grudge against Dyson for ratting out his escape plans to the guards, getting himself an early release and getting Blake three more years. Given a chance at revenge, Blake takes it: he traps Dyson in Dyson's own homemade guillotine, and decapitates him. Columbo now has to solve the crime before the government whisks Blake beyond his reach, changing his identity.
Final clue/twist: Columbo tricks Blake into a confession and attempted murder by taunting him with a promise to investigate him for the murder for as long as it takes to bring him down. When Blake tries to kill Columbo with the guillotine, he confesses while he's pulling the plug. But because Columbo has rigged the guillotine, he is unharmed.

This was the first episode broadcast on the ABC network and was shown under the umbrella of The ABC Mystery Movie.[1]"
8,2,47,"Murder, Smoke and Shadows",James Frawley,Richard Alan Simmons,Fisher Stevens as Alex Brady,Jeff Perry as Leonard Fisher,1989-02-27,1286,5436,Hollywood film director,ABC,"Boy genius Hollywood director Alex Brady (Fisher Stevens), prior to becoming a success, made a 16mm movie in which a young woman, Jenny Fisher, was killed in a motorcycle accident. Brady and his cameraman conspired to pretend that the woman never made it to the filming, leading the official investigation to conclude that it was an accidental death. Jenny's brother Leonard Fisher (Jeff Perry) shows up in Brady's office with a copy of a film that was left to him by Brady's recently deceased cameraman. Leonard vows to use the film to destroy Brady, who kills him, using one of his studio movie sets.
Final clue/twist: When he realizes that Columbo is coming closer and closer to solving the murder, Brady hires two actresses to enact a scripted conversation in the studio commissary for Columbo to overhear, hoping it would misdirect him. Columbo is not fooled, noticing that one of the actresses was dressed as a nurse when there were no scenes filmed during the studio that day that required one. Columbo then beats Brady at his own game, using undercover cops to ""play the part"" of the commissary staff so they can overhear Brady trying to bribe his secretary to keep quiet.

Molly Hagan co-stars as Alex Brady's girlfriend, Ruth Jernigan."
8,3,48,Sex and the Married Detective,James Frawley,Jerry Ludwig,Lindsay Crouse as Joan Allenby,Stephen Macht as David Kincaid,1989-04-03,1358,5406,Sex therapist,ABC,"Sex therapist Dr. Joan Allenby (Lindsay Crouse) hosts a popular call-in radio show and has authored a best-selling self-help manual, The Courtesan Complex. She is also involved both professionally and personally with her business partner David Kincaid (Stephen Macht). That is, until late one night when Dr. Allenby makes an unexpected after-hours trip to her office and catches David in flagrante delicto with her assistant Cindy Galt (Julia Montgomery) in the therapy room. Dr. Allenby is incensed, and decides to kill David. To do so, she takes a page right out of her own book. She first disguises herself as a sexually aggressive, high-class prostitute named ""Lisa"", wearing a black wig and sexy black clothing, that she stashes in the women's bathroom of a fundraiser she's attending. During the fundraiser, she sneaks to the bathroom to change into her disguise. She then sneaks out in the disguise and goes over to a nearby bar where she's arranged for David to meet with her. Making sure to be seen, she tricks David into taking them both back to her clinic. Once there, she shoots him, then makes it look like the mysterious ""lady in black"" committed the crime. 

Final clue/twist: During their first meeting, Columbo notices that Allenby's new coat still has the price tag attached. He later makes the link connecting the new coat and the ""lady in black"" costume to the same store. He finds the tag in the trash and is able to contact the store where the salesperson who sold the wig to her was able to recognize Allenby from the photo of her in her book."
8,4,49,Grand Deceptions,Sam Wanamaker,Sy Salkowitz,Robert Foxworth as Frank Brailie,Andy Romano as Lester Keegan,1989-05-01,1323,5430,Head of a paramilitary school for mercenaries / retired colonel / head of a think tank,ABC,"Colonel Frank Brailie (Robert Foxworth) is running a paramilitary mercenary school owned by General Jack Padget (Stephen Elliott). Brailie is also having an affair with Padget's wife Jenny (Janet Eilber). Brailie is siphoning money from Padget's foundation into what he calls ""The Special Projects Fund"", which is secretly used to finance illegal dealings. The suspicious General asks an employee, Sgt. Major Lester Keegan (Andy Romano) to look into the matter. Keegan finds the evidence but decides to blackmail Brailie instead of reporting his findings. During a training exercise, occurring on the night of the General's birthday party, Brailie sneaks into the mercenary camp, wearing a ski mask, and stabs Keegan, then puts the body on a landmine that is detonated. He sneaks back to the General's estate and makes it look like he was assembling a diorama of the Battle of Gettysburg at the time.

Final clue/twist: Columbo realized that a shipping box labeled as having contained books (which Brailie received earlier on the day of the murder) was too small to contain the number of books it was supposed to contain, and thus the box must have instead contained the toy soldiers for the diorama, and the books must have arrived in a shipment that arrived later (which Brailie claimed contained the toy soldiers). This meant that Brailie had swapped the labels on the boxes and had had enough time to set up the diorama over the course of the day, and therefore had no alibi for the time of the murder."
9,1,50,Murder: A Self Portrait,James Frawley,Robert Sherman,Patrick Bauchau as Max Barsini,Fionnula Flanagan as Louise Barsini; [unknown actor plays Barsini agent],1989-11-25,93,5304,Famous artist,ABC,"Temperamental artist Max Barsini (Patrick Bauchau) effectively lives with three women: his ex-wife, Louise (Fionnula Flanagan), his young live-in model Julie (Isabel GarcÃ­a Lorca), and his current wife Vanessa (Shera Danese). Barsini takes delight in the way they fight for his attention. But when Louise begins seeing a therapist, Dr. Hammer (George Coe), who is also her new fiancÃ©, Barsini fears she will reveal that he killed his first agent, who was robbing him. He kills Louise, then makes it look like she drowned at the beach while he was at Vito's bar, painting. Columbo poses for Barsini while investigating him.

Final clue/twist: Columbo can prove that a spot on Louise's face was not washed-up make-up but was instead remnants of ""Barsini red"", a special color mixed only for Barsini, and that it was on the cloth she was benumbed with."
9,2,51,Columbo Cries Wolf,Daryl Duke,William Read Woodfield,Ian Buchanan as Sean Brantley,Deidre Hall as Dian Hunter,1990-01-20,926,5521,Magazine publisher,ABC,"When Dian Hunter (Deidre Hall), the partner of men's magazine publisher Sean Brantley (Ian Buchanan), vanishes after expressing a desire to sell her 51% interest to a rival, suspicion falls on Sean and his girlfriend Tina (Rebecca Staab). Columbo sets out to find the body, eventually digging up much of Brantley's estate and breaking open the walls. But after the search turns into a full-blown media event, Dian resurfaces, explaining she needed some time to herself. Dian and Sean planned the disappearance as a publicity stunt to increase sales. But to his shock, she actually intends to sell now that her holding is more valuable. Sean proceeds to then kill Dian for real and hides the body, believing that Columbo will not be allowed to search for it again.
Richard Levinson and William Link wrote the story for this episode, but were uncredited.

Final clue/twist: Dian apparently left wearing a fur coat. Columbo gets suspicious when he sees all her remaining fur coats in plastic storage bags, deducing that Brantley put the body in the missing bag. Knowing he will not be supported in a second full search, he phones the pager Dian wears as a wristlet: it is on her body, behind a finished section of the replacement wall being installed; which Columbo tears down. (The word Columbo uses to ring the pager is ""Gotcha"")"
9,3,52,Agenda for Murder,Patrick McGoohan,Jeffrey Bloom,Patrick McGoohan as Oscar Finch,Louis Zorich as Frank Staplin,1990-02-10,1214,5516,Political operatative (previously lawyer with the DA),ABC,"Oscar Finch (Patrick McGoohan) is a lawyer who uses underhanded methods to get his clients off, like coercing Paul Mackey (Denis Arndt), who worked for the D.A.'s office, into destroying evidence against racketeer Frank Staplin (Louis Zorich) in 1969. Twenty-one years later, Mackey is chosen by a presidential candidate, Governor Montgomery (Arthur Hill), to be his Vice Presidential running mate. Finch himself hopes that he might be appointed as the next Attorney General. Staplin, facing another indictment, threatens to expose the long-ago favor and ruin Finch's and Mackey's political futures if he doesn't arrange the destruction of another document. Finch decides to murder him. He scatters cigar ashes to make it seem he was in a late-night meeting with a contributor when the murder occurred. Finch walks to Staplin's house, shoots him and makes his death look like a suicide.
Final clue/twist: After Columbo learns that Staplin hadn't eaten any of the cheese on the dish at the crime scene, but that the block of cheese had had a piece bitten off from it, he assumes that the murderer must have taken a bite. CSI can fabricate a toothprint from the cheese and Columbo finds more than enough samples of Finch's toothprint on his discarded pieces of chewing gum - proving that he was at the crime scene.

McGoohan won a second Emmy Award for Outstanding Guest Actor in a Drama Series, following his part in ""By Dawn's Early Light""."
9,4,53,"Rest in Peace, Mrs. Columbo",Vincent McEveety,Peter S. Fischer,Helen Shaver as Vivian Dimitri,Edward Winter as Charlie Chambers,1990-03-31,30,5578,Real estate executive,ABC,"The episode is partially told in flashbacks from the funeral of Columbo's wife. Vivian Dimitri (Helen Shaver) is a real-estate executive whose recently deceased husband had been sent to prison by Columbo. She seeks revenge by plotting to kill the Columbos. But first she murders her boss, Charlie Chambers (Edward Winter), her husband's partner who avoided prison by informing on him. Vivian shoots Chambers in his office, using her affair with married Leland St. John (Ian McShane) to establish an alibi. Then she plants evidence to make it look like Chambers was killed by disgruntled residents of a new housing development he was constructing. Her plan is then to kill the Columbos with a jar of poisoned marmalade. Roscoe Lee Browne plays her psychiatrist, Dr. Steadman.
Final clue/twist: Figuring out Vivian's plan, Columbo and the police fake the death of his wife. After the big ""funeral"", Columbo invites Vivian into what she thinks is his house. He makes himself toast with marmalade. While Columbo pretends to be dying of poison, Vivian confesses to all three murders.  He then breaks character, and tells her that he'd suspected her all along, and had the marmalade tested as soon as she gave it to him. They are actually in the home of another officer, who recorded the confession, and the marmalade jar is a different one.

Aired under the ABC Saturday Mystery.[1]"
9,5,54,Uneasy Lies the Crown,Alan J. Levi,Steven Bochco,James Read as Wesley Corman,Marshall R. Teague as Adam Evans,1990-04-28,1450,5515,"""Dentist to the stars""",ABC,"Dentist Wesley Corman (James Read) decides to get rid of his unfaithful wife, Lydia (Jo Anderson), and use her money to support his gambling habit. When Adam Evans (Marshall R. Teague), a Hollywood heartthrob having an affair with Lydia, comes under his care, Corman puts a time-release poison made from digitalis under a crown. It takes effect when the couple are together that evening and Corman is playing cards, thereby framing Lydia for the murder. Paul Burke co-stars as Horace Sherwin, Lydia's father, also a dentist.
Final clue/twist: Columbo traps Corman by taking advantage of the fact that Corman was never good at chemistry. He orders Evans' body exhumed and demonstrates to Corman that if there was indeed digitalis, it would have caused a chemical reaction with the porcelain in the crown, making a blue stain on Evans' tooth underneath the crown. Before they begin to examine Evans' mouth, Corman confesses. Of course, Columbo faked the demonstration: there would be no such reaction.

This same storyline was first used in the MacMillan & Wife episode ""Affair of the Heart"" that had aired in 1977.  Bochco shared writing credit for the earlier version with Leonard Stern."
9,6,55,Murder in Malibu,Walter Grauman,Jackson Gillis,Andrew Stevens as Wayne Jennings,Janet Margolin as Theresa Goren,1990-05-14,1107,5402,Gigolo,ABC,"Jess McCurdy (Brenda Vaccaro) fails to convince her sister, best-selling romance novelist Theresa Goren (Janet Margolin), to cancel her wedding to Wayne Jennings (Andrew Stevens), a playboy/tennis bum half her age and a gold digger. McCurdy impersonates her sister on the phone with Jennings and dumps him. Jennings reacts by killing Goren - twice. He arranges an alibi for the first murder, then returns and shoots her corpse. He allows Columbo to ""catch"" him for the second murder, which he confesses, but then ""learns"" that he had only shot a corpse, so is innocent of murder, which he assumes will be blamed on a burglar.

Final clue/twist: Columbo untangles the plot with his surprisingly detailed familiarity with the location of the tag on women's panties. He proved that someone else put Goren's underwear onto her corpse, and that this someone could only be a man, because only a man would put the panties on backwards. A murderous burglar wouldn't have bothered to dress the corpse; only Jennings would have a reason to do so, to help his alibi."
10,1,56,Columbo Goes to College,E.W. Swackhamer,(S) Frederick King Keller(S/T) Jeffrey Bloom,Stephen Caffrey as Justin Rowe and Gary Hershberger as Cooper Redman,James Sutorius as D.E. Rusk,1990-12-09,882,5369,Spoilt frat boys,ABC,"Criminology professor D.E. Rusk threatens to expel spoiled fraternity brothers Justin Rowe (Stephen Caffrey) and Cooper Redman (Gary Hershberger) for cheating by stealing the final exam. In a variation of Leopold and Loeb, the two students decide to kill Rusk. They fake a message to lure him away from the university just when Columbo will be giving a guest lecture to his class. While sitting at the lecture, they monitor the parking garage using a miniature TV camera and shoot Rusk by his car with a remote-controlled gun, both devices being hidden in their pickup truck's engine compartment. With an airtight alibi, the boys then plant evidence to make it look like the professor was killed because of a Mafia exposÃ© he was working on.
Final clue/twist: Columbo tricks the murderous duo by letting them ""overhear"" details of a car owned by a suspect. After the murder weapon is found in the car, he reveals it is actually his wife's car. Because only they could know which car it was, they must have planted it and must be the murderers.

Robert Culp returns to the series, playing Justin's powerful lawyer father. (This is the only time, in his four appearances, that Culp is not the killer. See Repeat Offenders.)"
10,2,57,Caution: Murder Can Be Hazardous to Your Health,Daryl Duke,Sonia Wolf & Patricia Ford & April Raynell,George Hamilton as Wade Anders,Peter Haskell as Budd Clarke,1991-02-20,1617,5172,TV host,ABC,"Wade Anders (George Hamilton) is a former security consultant, and now host of the popular America's Most Wanted-esque crime show CrimeAlert. One day, he gets an unexpected visit from his rival, the chain-smoking newscaster Budd Clarke (Peter Haskell), whom he blocked from becoming the CrimeAlert host. Clarke has resented that he was snubbed in favor of Anders, but now, he has got some leverage that he hopes will get Anders out of the CrimeAlert chair: a porn video that Anders starred in many years ago. Clarke plans to go public with the tape unless Anders resigns from the show. Anders decides to kill him rather than be disgraced by a scandal. He palms a pack of Clarke's cigarettes, which he doctors with a few drops of alkaloid poison nicotine sulfate. Anders then pays two visits to his production office, once that night and again the next morning - so a surveillance tape there will show him at the office all day. Anders then drives to Clarke's house, and switches a cigarette pack for the poisoned pack. Once Clarke takes one of the poisoned cigarettes and dies, Anders makes it look like Clarke had a heart attack at his desk.
Final clue/twist: Columbo can prove that the surveillance tape was fabricated, because the trees and bushes visible in front of the office appeared to have been trimmed in the morning, but had supposedly grown again by the evening. The fact that Clarke's dog scratched Anders' car, making distinctive marks because of its missing claw on one of its paws, provides further evidence that Anders had indeed visited Clarke's house before.

Shown under the ABC Movie Special brand.[3]"
10,3,58,Columbo and the Murder of a Rock Star,Alan J. Levi,William Read Woodfield,Dabney Coleman as Hugh Creighton,Cheryl Paris as Marcy Edwards,1991-04-29,1198,5491,Lawyer,ABC,"Rock star Marcy Edwards (Cheryl Paris) has been the live-in lover of high-priced murder lawyer Hugh Creighton (Dabney Coleman) for several years. He learns that she is having an affair with someone else and throws her out of his house. However, Marcy blackmails Creighton into letting her stay, at least until he comes up with the $5 million she is demanding in exchange for not filing a palimony suit against him or exposing his unconventional practice methods. Creighton's response is to drug the champagne in her beach house and wait until she shows up there with her current lover. Having previously ensured that Marcy cannot drink by lacing her tea with disulfiram, Creighton waits until her new lover is passed out, then strangles her. Her lover awakens and flees the scene. Creighton enlists his associate, Trish Fairbanks (Shera Danese), to help him concoct an airtight alibi, but when she finds out what he has done, she blackmails him into a full partnership in the firm, wisely going the extra mile by creating a contingency plan to ensure that killing her is not an option for Creighton. Columbo cracks the case, despite the existence of a speed-camera ticket which appears to exonerate Creighton completely.
Final clue/twist: Due to shadow angles in the picture of the speeding ticket, Columbo can prove that Creighton's face was just a flat cut-out mask and that Fairbanks must have been driving Creighton's speeding vehicle, and breaking his alibi. Also, marks on Edwards neck matched the gloves found in the gardener's truck that had been stolen, parked on a particular street where an unusual type of tree grows, and returned. The windshield wiper wells on Fairbanks' car collected the berries and droppings of these trees, proving that Creighton parked her car on that street and also drove the truck there.

Little Richard cameos as himself."
10,4,59,Death Hits the Jackpot,Vincent McEveety,Jeffrey Bloom,Rip Torn as Leon Lamarr and Jamie Rose as Nancy Brower,Gary Kroeger as Freddy Brower,1991-12-15,1875,5533,Jeweller,ABC,"Down-on-his-luck photographer Freddy Brower (Gary Kroeger) wins a $30 million lottery. But he wants to keep the money a secret from his wife Nancy (Jamie Rose), who is divorcing him, so that she cannot make a claim for the money. Freddy goes to his uncle, wealthy jeweler Leon Lamarr (Rip Torn), who offers to pretend that the lottery ticket is his own until Freddy's divorce is finalized. Unfortunately, that is where Freddy's luck runs out: he does not know that Lamarr has recently gone bankrupt, and is also having an affair with Nancy. Lamarr decides to kill Freddy to keep the lottery winnings for himself. He schedules a Halloween costume party at his house, during which he sneaks out to Freddy's apartment, knocks him out, undresses him, then drowns him in his bathtub. Nancy calls Lamarr during the party pretending to be Freddy.
Final clue/twist: The night of the murder, Brower was taking care of a friend's chimpanzee. Columbo learns that the chimp liked to handle shiny objects, and finds the chimp's fingerprints on a medallion that was part of Lamarr's Halloween costume, proving that Lamarr was at Brower's apartment that night. When confronting Lamarr, Columbo calls Nancy in to thank her for her ""cooperation"" and to let her know she will be the sole beneficiary of the winnings. Columbo knew Lamarr would think Nancy has implicated him, so Lamarr not only confesses to the murder, but reveals Nancy's involvement in the crime. 

Betsy Palmer co-stars as Lamarr's wife."
10,5,60,No Time to Die,Alan J. Levi,(S) Ed McBain; (T) Robert van Scoyk,(No murder.  Daniel McDonald plays the would-be murderer.),(None),1992-02-15,63,5857,"(No murder, but the kidnapper was an ambulance driver)",ABC,"Columbo attends the wedding of his police officer nephew Andy Parma (Thomas Calabro). While Andy is showering, his new bride Melissa Hayes (Joanna Going), a fashion model, is abducted from the bridal suite. Andy enlists Columbo's help in catching the kidnapper. Melissa has been kidnapped by Rudy Strassa (Daniel McDonald), a sadistic psychopath who intends to kill her once he consummates ""their marriage"".
This episode is based on the 87th Precinct novel So Long As You Both Shall Live by Ed McBain, although not credited as such. Uncharacteristically dark, this is the only episode in which no murder occurs and in which Columbo does not meet the criminal.

Aired under ABC Sunday Night Movie.[4]"
10,6,61,A Bird in the Hand ...,Vincent McEveety,Jackson Gillis,Tyne Daly as Dolores McCain and Greg Evigan as Harold McCain,"Steve Forrest as Fred McCain, LeÃ³n Singer as Fernando and Greg Evigan as Harold McCain",1992-11-22,1038,5961,Gambler,ABC,"Given a deadline to pay his debts, or else, chronic gambler Harold McCain (Greg Evigan) plants a bomb under the Rolls-Royce of his uncle, professional football team owner Big Fred (Steve Forrest). The bomb is set to explode when the engine is started. However, someone else gets to Big Fred before Harold's bomb does by stealing the gardener's pickup truck and running him over while he is jogging. Harold tries to remove the bomb before it kills someone else, but cannot get near the Rolls-Royce due to police and security on the premises. When the gardener tries to move the Rolls Royce out of the way of the TV camera crews, the bomb explodes, killing the gardener. Columbo investigates and discovers clues that link Harold to the car bomb, but Harold denies any involvement and tries to divert suspicion away from himself. Fred's wife Dolores (Tyne Daly), appears traumatised at losing her husband but has a good time as Fred's team's owner, but after Harold tries to squeeze her for money, he is shot dead in his cabin, making it appear obvious who is responsible.
Final clue/twist: The TV news tape shows Harold closing his eyes before the Rolls-Royce exploded, thus proving that he knew there was a bomb under the car. Columbo discovers that Harold's alarm was set to 8 pm, not 8 am. Harold had spent the entire night at a casino, where he won $5,000 and had breakfast; then he had a haircut and went to Dolores's house, which Columbo proves with recently cut hairs found inside Harold's hat that was in Dolores' den. Dolores shot Harold and moved his body to his cabin, but left Harold's hat at her house. Before Harold planted the bomb, Dolores moved the Rolls-Royce onto the driveway so the gardener could not drive his truck in. Dolores then sent the gardener to the back of house so that he would not see her steal his truck and run Big Fred over. Harold suspected Dolores was involved and was implying blackmail when he asked her for money. When Dolores demands that Columbo prove it, he replies, ""I don't have to prove it, ma'am. One in the hand is better than two in the bush,"" and arrests her for Harold's murder.
Like ""Last Salute to the Commodore"" many years earlier, the real killer is not revealed until nearly the end of the episode. In both episodes, murders occur off screen, and both were scripted by Columbo veteran Jackson Gillis (this was his final contribution to the series). The episode used footage of a Saskatchewan Roughriders vs Edmonton Eskimos CFL game to represent fictional American football teams with the same initials, the Stallions and the Elks.  Coincidentally, in 2021 the real-life Eskimos changed their name and became the Elks.

This is one of four episodes (the other three being ""Undercover"", ""Last Salute to the Commodore"", and Season 2's ""The Most Dangerous Match"") in which Columbo is present at the death of a victim."
